Civilian_Casualties,Estimated_Dollar_Loss,Building_Status,Business_Impact,Fire_Alarm_System_Operation,Method_Of_Fire_Control,Smoke_Alarm_at_Fire_Origin,Sprinkler_System_Presence,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Under_Control_Time,Number_of_responding_apparatus,Number_of_responding_personnel
7,53400,Abandoned,None,Operational,Dry chemical,Absent,Not applicable,2021-03-27T11:58:26Z,2021-12-20T07:08:03Z,2021-09-20T12:06:52Z,2,25
5,57500,Unoccupied,Moderate,Operational,Water,Absent,Present,2021-07-20T00:30:07Z,2021-04-03T02:48:33Z,2021-02-25T08:48:32Z,5,22
10,58200,Occupied,NA,Operational,Water,Present,Absent,2021-12-06T20:01:31Z,2021-08-29T02:21:43Z,2021-04-20T16:48:17Z,2,16
3,91200,Occupied,None,Operational,Dry chemical,Absent,Absent,2021-07-24T00:45:11Z,2021-06-15T09:34:35Z,2021-12-12T13:03:10Z,4,26
10,56700,Occupied,Minor,Not present,Dry chemical,Present,Present,2021-11-30T00:47:16Z,2021-10-17T10:47:10Z,2021-05-09T15:16:49Z,7,48
4,60500,Unoccupied,None,Operational,NA,Absent,Not applicable,2021-12-03T20:08:04Z,2021-12-23T00:26:40Z,2021-04-11T19:15:57Z,2,7
10,12200,NA,NA,Non-operational,NA,Present,Not applicable,2021-04-27T15:48:25Z,2021-05-31T22:16:01Z,2021-12-23T10:48:03Z,2,41
0,600,Occupied,None,Operational,No intervention,Absent,Absent,2021-12-14T05:53:39Z,2021-02-03T02:38:12Z,2021-08-02T08:05:57Z,3,14
9,24700,Occupied,Moderate,Non-operational,Dry chemical,Absent,Present,2021-09-26T17:39:13Z,2021-07-08T17:05:58Z,2021-07-13T01:00:38Z,1,35
10,30100,NA,Minor,Operational,CO2,Present,Not applicable,2021-09-07T07:52:59Z,2021-11-17T03:16:29Z,2021-01-28T17:37:38Z,7,47
9,32700,Occupied,None,Operational,Water,Present,Not applicable,2021-10-26T10:40:58Z,2021-07-20T16:04:51Z,2021-01-03T18:08:46Z,9,1
10,83500,Unoccupied,None,Operational,CO2,Present,Not applicable,2021-07-05T02:36:01Z,2021-07-10T06:30:12Z,2021-12-19T12:19:44Z,5,32
8,44600,Occupied,Moderate,Non-operational,Dry chemical,Present,Present,2021-10-31T01:31:34Z,2021-04-05T11:58:38Z,2021-05-17T11:34:15Z,7,6
0,85200,Occupied,None,Operational,NA,Present,Absent,2021-03-21T20:57:07Z,2021-06-09T05:00:10Z,2021-06-13T23:33:26Z,2,14
3,42400,Occupied,None,Non-operational,Foam,Present,Present,2021-05-04T02:01:03Z,2021-11-26T21:22:07Z,2021-01-28T18:07:35Z,6,50
6,46600,Occupied,Minor,Operational,No intervention,Absent,Absent,2021-05-16T19:10:40Z,2021-06-16T00:56:20Z,2021-08-29T12:35:58Z,5,20
7,71500,Occupied,None,Non-operational,Foam,Unknown,Present,2021-03-23T22:25:25Z,2021-12-28T00:17:31Z,2021-09-18T07:56:58Z,1,42
8,78100,Occupied,None,Operational,Foam,Present,Present,2021-12-11T04:42:26Z,2021-10-31T11:49:56Z,2021-03-19T08:10:46Z,1,41
5,18300,NA,Minor,Operational,Water,Unknown,Absent,2021-04-25T07:20:03Z,2021-12-07T20:34:22Z,2021-10-24T07:19:51Z,8,20
8,5900,Abandoned,Minor,Operational,Foam,Present,NA,2021-05-16T01:44:33Z,2021-01-18T01:00:48Z,2021-04-19T09:37:25Z,2,50
1,59400,Occupied,Minor,Operational,CO2,Present,Absent,2021-10-10T18:02:47Z,2021-12-13T00:53:58Z,2021-07-30T03:48:07Z,6,17
0,53200,Occupied,None,NA,No intervention,Absent,Not applicable,2021-04-03T03:41:26Z,2021-05-05T13:35:02Z,2021-06-28T21:16:52Z,2,7
9,86900,Occupied,Severe,Operational,Foam,Present,Present,2021-02-20T05:04:05Z,2021-09-06T14:02:28Z,2021-11-15T05:35:46Z,5,23
1,7000,NA,None,Operational,NA,Absent,Not applicable,2021-06-01T16:04:52Z,2021-01-11T03:16:51Z,2021-10-23T07:13:07Z,6,15
10,48900,Abandoned,Minor,Operational,Foam,Absent,Absent,2021-09-01T19:55:52Z,2021-12-23T01:47:37Z,2021-05-21T23:45:05Z,7,19
8,50500,Unoccupied,NA,Operational,No intervention,Unknown,Present,2021-08-14T13:06:18Z,2021-10-17T17:10:32Z,2021-02-16T21:37:25Z,5,42
4,80100,Occupied,None,Not present,CO2,Unknown,Absent,2021-10-05T09:10:59Z,2021-08-23T23:53:41Z,2021-06-18T14:44:37Z,9,20
9,41300,Occupied,Moderate,Operational,Foam,Absent,NA,2021-12-25T18:58:19Z,2021-11-01T16:41:36Z,2021-04-06T06:43:28Z,5,1
0,71100,NA,None,NA,CO2,NA,Present,2021-01-31T17:30:31Z,2021-01-21T12:01:40Z,2021-06-28T07:40:12Z,7,49
9,35100,Occupied,Moderate,Operational,Water,Absent,Absent,2021-05-26T02:05:42Z,2021-01-22T07:21:53Z,2021-08-20T04:32:50Z,3,8
9,47600,Occupied,Moderate,Not present,CO2,Absent,Not applicable,2021-04-04T21:01:28Z,2021-08-11T12:52:14Z,2021-08-21T17:35:56Z,9,7
1,76400,Abandoned,None,Non-operational,Foam,Present,Not applicable,2021-09-09T15:59:13Z,2021-04-09T20:13:57Z,2021-10-21T17:12:05Z,1,22
3,56800,Occupied,NA,Operational,CO2,Absent,Not applicable,2021-10-17T11:31:37Z,2021-07-28T17:16:05Z,2021-06-08T20:05:43Z,7,11
5,93400,Occupied,None,Operational,NA,Present,Not applicable,2021-11-23T11:04:39Z,2021-02-23T21:48:52Z,2021-11-08T04:33:15Z,5,1
4,51900,Occupied,Moderate,Operational,Foam,Absent,Present,2021-04-15T20:12:13Z,2021-07-22T15:06:26Z,2021-10-11T21:29:42Z,8,5
1,70700,Occupied,None,Non-operational,NA,Absent,Present,2021-09-30T11:27:25Z,2021-10-29T12:58:29Z,2021-08-24T20:46:08Z,9,9
8,41800,Occupied,NA,Operational,CO2,NA,Absent,2021-04-08T05:56:24Z,2021-10-23T03:39:25Z,2021-08-05T13:56:22Z,1,33
6,3800,Occupied,Moderate,Operational,Dry chemical,Present,Absent,2021-12-19T13:07:57Z,2021-02-12T19:05:23Z,2021-10-16T17:47:39Z,7,15
8,64700,Abandoned,None,Non-operational,NA,Absent,Present,2021-01-07T07:34:04Z,2021-06-11T21:39:34Z,2021-06-22T22:06:36Z,2,16
10,95100,Occupied,Minor,Non-operational,Foam,Present,Present,2021-11-29T22:42:26Z,2021-03-27T17:09:28Z,2021-02-13T13:06:50Z,9,41
8,8000,Abandoned,None,Operational,No intervention,Present,NA,2021-01-21T06:25:17Z,2021-04-01T01:33:23Z,2021-09-12T05:30:06Z,1,42
9,90300,Occupied,Minor,Operational,Dry chemical,Absent,Not applicable,2021-04-12T19:48:28Z,2021-02-03T15:31:31Z,2021-10-15T18:36:59Z,6,19
3,1500,Unoccupied,Moderate,NA,No intervention,Present,Not applicable,2021-08-02T08:14:49Z,2021-03-10T12:53:59Z,2021-07-24T09:15:44Z,4,49
2,23400,Occupied,None,Not present,Foam,Present,Present,2021-06-01T19:51:53Z,2021-03-04T09:18:14Z,2021-08-29T06:36:52Z,1,13
1,26100,Occupied,None,Operational,CO2,Unknown,Present,2021-11-05T08:56:36Z,2021-03-02T01:21:49Z,2021-10-11T08:01:20Z,6,31
7,31900,Occupied,Minor,Operational,NA,Absent,Not applicable,2021-05-01T16:31:37Z,2021-06-07T23:54:37Z,2021-12-09T10:22:22Z,5,27
2,34500,Abandoned,None,Operational,Water,Absent,Absent,2021-05-15T23:06:46Z,2021-08-29T01:30:02Z,2021-12-05T06:34:53Z,6,7
6,75600,Occupied,Moderate,Operational,NA,Absent,Absent,2021-05-13T12:16:11Z,2021-05-07T05:38:23Z,2021-04-19T15:23:02Z,10,12
10,74400,Occupied,None,Operational,Water,Unknown,Present,2021-05-30T15:24:09Z,2021-10-12T01:59:15Z,2021-12-22T19:35:54Z,9,7
3,91500,Occupied,None,Non-operational,Foam,Absent,Not applicable,2021-08-08T06:52:23Z,2021-10-19T22:30:48Z,2021-08-07T20:19:11Z,4,28
1,87200,Occupied,Moderate,Operational,No intervention,Absent,Absent,2021-04-28T17:07:56Z,2021-10-20T16:28:09Z,2021-05-01T21:41:07Z,2,18
1,11500,Occupied,None,Non-operational,No intervention,Present,Not applicable,2021-02-22T21:58:34Z,2021-04-11T13:36:20Z,2021-11-08T06:34:35Z,6,40
10,89000,NA,Severe,Operational,Water,Present,Not applicable,2021-03-31T22:07:34Z,2021-02-26T17:14:10Z,2021-10-25T12:19:25Z,4,32
5,79800,Occupied,Moderate,Operational,Water,Present,Absent,2021-05-14T08:35:06Z,2021-01-20T00:19:40Z,2021-06-15T09:17:03Z,6,36
4,31200,NA,Minor,Operational,Water,Present,Not applicable,2021-02-10T21:06:34Z,2021-10-06T20:31:47Z,2021-02-25T00:00:32Z,5,5
6,41300,Abandoned,Moderate,Operational,Water,Absent,Present,2021-12-30T16:57:13Z,2021-03-06T01:54:37Z,2021-02-12T14:39:36Z,1,20
10,44300,NA,Moderate,Operational,Water,Absent,Not applicable,2021-06-03T22:12:49Z,2021-04-09T17:31:03Z,2021-03-12T20:48:25Z,7,40
0,49200,Occupied,None,Operational,Foam,Absent,Not applicable,2021-01-18T04:14:16Z,2021-03-18T02:21:22Z,2021-03-06T03:55:36Z,5,1
1,8700,Occupied,NA,NA,Foam,Present,Absent,2021-07-03T11:40:34Z,2021-03-24T23:58:26Z,2021-11-29T10:31:37Z,2,11
3,75000,Unoccupied,Minor,Operational,CO2,NA,Present,2021-03-29T00:41:47Z,2021-08-21T08:29:31Z,2021-02-02T00:21:54Z,10,39
8,46100,Occupied,NA,Operational,Dry chemical,Present,Not applicable,2021-12-05T14:07:22Z,2021-12-16T17:48:01Z,2021-06-18T14:23:25Z,5,11
0,94500,Occupied,Minor,Operational,Foam,Absent,Not applicable,2021-06-25T22:53:13Z,2021-05-24T10:26:40Z,2021-01-30T19:47:53Z,2,37
10,26900,Occupied,None,Operational,Dry chemical,Present,Absent,2021-04-14T12:18:55Z,2021-06-25T22:44:38Z,2021-12-03T09:44:38Z,1,32
6,77300,Occupied,None,Operational,NA,Present,Present,2021-04-16T01:22:23Z,2021-04-20T13:53:00Z,2021-12-03T15:54:44Z,1,46
8,16800,Occupied,None,Non-operational,Dry chemical,Present,Absent,2021-02-27T23:11:11Z,2021-12-10T03:21:11Z,2021-12-29T02:12:16Z,1,35
8,39300,Occupied,None,Operational,CO2,Absent,Absent,2021-12-21T03:54:57Z,2021-03-21T14:16:08Z,2021-08-30T05:59:20Z,8,39
8,23200,Occupied,None,Not present,CO2,Present,Present,2021-07-20T17:40:00Z,2021-05-17T08:09:36Z,2021-10-06T21:18:44Z,10,48
5,52800,Occupied,None,Operational,Dry chemical,Absent,Present,2021-07-18T09:51:21Z,2021-02-11T09:03:31Z,2021-12-16T21:33:08Z,10,15
1,59200,Occupied,None,Operational,Dry chemical,Absent,Not applicable,2021-09-20T16:54:41Z,2021-09-27T21:41:04Z,2021-07-05T06:57:43Z,6,46
8,87600,Abandoned,Moderate,Not present,No intervention,Present,Present,2021-05-01T21:08:51Z,2021-03-07T20:13:55Z,2021-11-26T08:40:59Z,9,42
6,9900,NA,NA,Operational,Dry chemical,Present,Absent,2021-10-04T17:11:42Z,2021-07-12T20:33:29Z,2021-08-25T04:09:18Z,5,19
10,74600,Occupied,NA,Operational,No intervention,NA,Absent,2021-09-27T23:24:52Z,2021-12-10T20:30:52Z,2021-09-28T14:58:49Z,7,17
1,14200,Unoccupied,None,Operational,Dry chemical,Absent,Absent,2021-04-30T08:18:52Z,2021-09-13T20:31:45Z,2021-07-16T23:22:35Z,7,14
2,17400,Occupied,None,Not present,Water,Absent,Absent,2021-03-10T07:17:46Z,2021-09-02T05:27:29Z,2021-07-25T06:30:25Z,1,22
8,32400,Occupied,None,NA,No intervention,Present,Present,2021-09-29T18:07:11Z,2021-10-07T03:00:21Z,2021-06-10T17:25:50Z,3,30
9,38500,Occupied,Minor,Not present,Foam,Unknown,Not applicable,2021-02-12T23:39:24Z,2021-02-14T04:19:19Z,2021-01-29T02:57:17Z,5,25
4,23100,Occupied,None,Operational,NA,Absent,Present,2021-05-23T03:41:54Z,2021-09-29T15:19:18Z,2021-02-04T23:39:11Z,10,43
9,6100,Occupied,Minor,Operational,Foam,Absent,Not applicable,2021-01-11T20:12:50Z,2021-01-20T12:57:41Z,2021-10-08T03:35:27Z,7,11
4,55000,Occupied,None,Not present,Water,NA,NA,2021-02-15T17:43:57Z,2021-04-04T09:43:05Z,2021-08-09T02:08:32Z,8,25
3,41900,Occupied,Minor,Operational,NA,Absent,Absent,2021-05-13T21:18:10Z,2021-08-19T15:35:15Z,2021-12-09T19:03:23Z,4,40
2,79400,Unoccupied,None,Not present,NA,Present,NA,2021-02-28T12:15:59Z,2021-03-27T08:19:04Z,2021-08-01T00:15:50Z,1,5
0,36600,Occupied,None,Operational,Water,Absent,Present,2021-09-29T19:24:27Z,2021-10-02T21:58:59Z,2021-07-22T00:18:04Z,8,30
6,64600,Unoccupied,Minor,Operational,NA,NA,NA,2021-12-21T23:47:26Z,2021-09-25T16:56:49Z,2021-07-20T09:15:10Z,8,4
0,49800,NA,None,Not present,Dry chemical,Unknown,Present,2021-11-23T05:25:08Z,2021-08-04T10:34:46Z,2021-12-10T07:42:22Z,6,11
8,74500,Occupied,Moderate,Not present,Water,Present,Absent,2021-05-27T20:29:17Z,2021-10-12T13:09:19Z,2021-03-25T23:26:52Z,3,27
2,80200,NA,Moderate,Operational,No intervention,NA,NA,2021-03-08T02:02:12Z,2021-02-10T21:41:51Z,2021-07-28T21:49:37Z,5,19
6,44200,NA,None,Operational,CO2,Present,Not applicable,2021-05-06T18:11:36Z,2021-11-29T10:17:25Z,2021-01-24T17:05:03Z,4,4
4,68600,Abandoned,Moderate,Operational,CO2,Present,Not applicable,2021-04-12T18:13:56Z,2021-02-23T21:19:08Z,2021-04-24T15:00:30Z,10,31
0,43100,Occupied,None,Operational,Foam,Present,Absent,2021-09-25T14:05:23Z,2021-05-07T12:22:58Z,2021-03-17T12:15:50Z,5,16
0,44100,Occupied,None,Operational,No intervention,Unknown,Not applicable,2021-03-09T00:30:26Z,2021-02-04T02:55:13Z,2021-03-28T13:15:11Z,4,8
10,27400,Occupied,Minor,Non-operational,Foam,Absent,Absent,2021-10-16T14:47:48Z,2021-10-10T14:23:03Z,2021-07-24T18:33:47Z,6,48
10,95600,Occupied,None,Operational,Water,Present,NA,2021-07-04T17:39:35Z,2021-07-18T04:50:40Z,2021-08-09T22:07:22Z,4,31
7,26200,Occupied,Moderate,Operational,Water,Present,NA,2021-11-18T20:05:31Z,2021-05-04T17:07:16Z,2021-06-14T10:23:14Z,10,44
5,62900,NA,None,Operational,No intervention,Absent,Absent,2021-01-22T23:24:17Z,2021-05-04T08:10:16Z,2021-11-05T09:37:55Z,1,15
5,44300,Occupied,None,Operational,Dry chemical,NA,Absent,2021-08-26T09:35:04Z,2021-06-06T04:02:14Z,2021-09-05T02:05:20Z,2,12
7,85500,Occupied,None,Operational,NA,Unknown,Present,2021-06-19T09:47:12Z,2021-07-23T11:28:00Z,2021-01-22T09:36:55Z,4,20
7,77800,Unoccupied,None,NA,No intervention,Unknown,Absent,2021-10-30T12:11:28Z,2021-08-13T15:49:27Z,2021-09-10T02:54:37Z,6,11
7,7500,Occupied,Minor,Operational,Dry chemical,Absent,Absent,2021-09-26T02:24:11Z,2021-10-15T00:31:03Z,2021-12-15T04:48:48Z,7,11
7,79300,Occupied,None,Operational,Dry chemical,Absent,Absent,2021-04-18T20:02:58Z,2021-09-16T20:56:04Z,2021-06-12T01:39:49Z,6,25
7,1800,Occupied,Minor,Operational,Dry chemical,Absent,Absent,2021-01-11T10:40:07Z,2021-04-22T05:53:40Z,2021-09-20T09:52:32Z,8,25
1,62900,Occupied,None,Operational,Dry chemical,Present,Not applicable,2021-11-04T22:00:37Z,2021-03-04T13:05:51Z,2021-10-02T14:06:43Z,5,12
2,59100,Occupied,Minor,Not present,Water,Absent,Absent,2021-02-03T10:01:40Z,2021-12-02T05:15:46Z,2021-11-16T02:36:46Z,5,27
7,91300,Occupied,NA,Operational,Foam,Present,Not applicable,2021-07-24T12:53:26Z,2021-06-04T01:57:29Z,2021-02-07T18:41:11Z,9,4
2,53700,Occupied,None,Operational,Water,Absent,Present,2021-12-29T10:27:26Z,2021-08-07T13:19:41Z,2021-12-13T00:05:53Z,10,5
10,76900,Occupied,None,Operational,CO2,Present,Not applicable,2021-06-26T01:08:00Z,2021-03-08T18:31:41Z,2021-09-22T01:40:01Z,6,27
0,18100,Occupied,None,NA,No intervention,Present,Present,2021-09-21T20:17:11Z,2021-11-02T08:45:06Z,2021-12-25T05:57:06Z,10,35
7,79400,Occupied,Severe,Not present,Foam,Absent,Absent,2021-03-02T00:18:59Z,2021-05-11T01:45:29Z,2021-01-21T09:50:17Z,4,10
1,82600,Occupied,Moderate,Operational,Foam,Present,Absent,2021-11-20T20:44:24Z,2021-09-11T20:11:04Z,2021-11-25T21:11:02Z,5,47
7,12100,Abandoned,None,Operational,CO2,Unknown,Not applicable,2021-01-22T15:35:45Z,2021-05-11T01:14:54Z,2021-05-05T17:17:58Z,3,19
3,27400,Occupied,None,Not present,No intervention,Present,Absent,2021-11-01T14:37:32Z,2021-07-27T04:47:08Z,2021-07-17T13:03:11Z,1,30
0,2700,Unoccupied,None,Operational,CO2,Absent,Not applicable,2021-01-30T14:25:46Z,2021-06-19T02:06:36Z,2021-12-14T13:40:13Z,5,49
9,2700,Occupied,Minor,Not present,CO2,Absent,Present,2021-07-03T12:20:29Z,2021-09-23T02:37:42Z,2021-06-09T10:53:30Z,9,30
5,32800,Occupied,None,Operational,No intervention,Unknown,Present,2021-02-17T16:43:54Z,2021-02-19T22:08:07Z,2021-02-08T20:31:17Z,3,10
3,2600,Occupied,None,Not present,CO2,Present,Present,2021-10-27T22:53:58Z,2021-01-04T18:44:05Z,2021-10-14T23:16:41Z,7,3
8,34000,Abandoned,None,Operational,Water,Unknown,Absent,2021-03-22T05:18:36Z,2021-05-03T15:37:01Z,2021-01-16T13:14:42Z,6,46
4,84800,Abandoned,None,Operational,CO2,Present,Present,2021-01-12T14:55:50Z,2021-02-03T09:48:36Z,2021-04-07T19:14:30Z,5,29
1,65900,Occupied,None,Not present,CO2,NA,Present,2021-02-21T21:07:37Z,2021-12-17T10:14:04Z,2021-12-02T18:05:40Z,6,27
4,37600,Abandoned,None,Not present,Foam,Present,Absent,2021-01-07T09:48:12Z,2021-02-20T19:57:40Z,2021-03-23T04:52:42Z,3,1
4,39800,Abandoned,Minor,Operational,NA,Present,Present,2021-02-15T18:19:44Z,2021-05-20T16:48:59Z,2021-09-08T23:12:57Z,2,23
10,67300,Occupied,Minor,Operational,NA,Present,Present,2021-04-30T17:47:32Z,2021-07-31T05:58:49Z,2021-10-04T16:03:22Z,5,21
1,94900,NA,Minor,Operational,CO2,Absent,Present,2021-05-04T00:48:38Z,2021-02-16T08:40:05Z,2021-02-16T01:42:10Z,6,20
1,64400,Occupied,Moderate,Operational,Dry chemical,NA,NA,2021-10-02T01:16:09Z,2021-08-15T21:09:26Z,2021-10-27T17:03:34Z,10,33
4,17700,Occupied,None,Operational,No intervention,Present,Present,2021-09-24T20:15:57Z,2021-08-19T08:39:55Z,2021-12-10T12:37:48Z,6,1
5,31800,Occupied,None,Operational,No intervention,NA,Not applicable,2021-06-29T07:27:12Z,2021-05-02T02:15:30Z,2021-01-20T20:18:53Z,6,23
10,68800,Occupied,Moderate,Non-operational,Dry chemical,Absent,Absent,2021-10-05T03:32:12Z,2021-08-11T15:26:30Z,2021-06-03T18:55:13Z,1,25
7,30700,Occupied,None,Operational,Water,Present,Not applicable,2021-11-05T01:28:30Z,2021-12-22T08:17:53Z,2021-01-21T13:37:37Z,8,10
6,83700,Occupied,None,Operational,No intervention,Absent,Absent,2021-07-29T10:56:31Z,2021-05-17T23:09:37Z,2021-07-24T02:23:59Z,5,43
0,1400,NA,None,Not present,NA,Present,Not applicable,2021-11-23T12:37:52Z,2021-11-07T20:40:49Z,2021-07-19T20:42:59Z,6,15
0,49300,Abandoned,Moderate,Not present,Foam,Absent,Present,2021-12-05T08:30:14Z,2021-04-19T06:12:08Z,2021-03-09T01:20:25Z,9,24
7,81500,Occupied,Minor,NA,Dry chemical,Present,Present,2021-06-01T23:41:50Z,2021-06-09T01:12:38Z,2021-11-03T12:09:19Z,1,9
7,36200,NA,Moderate,Not present,Dry chemical,Present,Absent,2021-02-14T12:50:24Z,2021-10-27T14:08:55Z,2021-10-26T15:06:45Z,1,31
10,37100,Abandoned,None,Operational,Dry chemical,Absent,Absent,2021-02-22T17:39:42Z,2021-03-24T02:25:27Z,2021-12-09T11:57:56Z,1,5
3,66000,Abandoned,None,Operational,NA,Present,Present,2021-06-24T12:29:42Z,2021-08-14T11:43:52Z,2021-10-10T01:40:39Z,2,15
3,42700,Occupied,Moderate,Operational,No intervention,Present,Absent,2021-04-03T07:22:28Z,2021-11-25T12:01:24Z,2021-05-19T14:44:56Z,4,28
9,70500,Occupied,Moderate,Operational,No intervention,NA,Present,2021-04-23T06:10:09Z,2021-07-06T15:42:23Z,2021-05-21T02:55:53Z,7,37
2,97200,Unoccupied,Minor,Operational,No intervention,Present,NA,2021-01-13T16:37:17Z,2021-03-31T10:11:17Z,2021-11-25T18:17:56Z,2,39
0,25600,Occupied,None,Operational,Foam,Absent,Absent,2021-02-27T06:52:41Z,2021-02-03T20:36:41Z,2021-03-05T13:55:51Z,9,39
9,82700,Occupied,Moderate,Operational,No intervention,NA,Absent,2021-01-01T09:10:54Z,2021-02-11T18:39:39Z,2021-09-23T07:02:20Z,2,23
7,83100,Abandoned,None,NA,No intervention,Absent,Absent,2021-03-23T12:10:05Z,2021-08-28T01:37:05Z,2021-08-31T10:32:26Z,9,39
7,53900,Occupied,None,Operational,Foam,Present,Absent,2021-08-12T02:01:24Z,2021-11-23T12:31:54Z,2021-01-16T01:37:44Z,3,1
8,45800,Occupied,None,Operational,Dry chemical,Absent,Present,2021-09-17T10:48:26Z,2021-07-16T17:35:26Z,2021-07-16T20:08:12Z,6,47
3,76800,Occupied,Moderate,NA,Water,Unknown,Not applicable,2021-06-01T11:51:07Z,2021-02-27T17:31:26Z,2021-01-27T10:28:41Z,6,23
6,30800,Occupied,Minor,Operational,NA,Absent,Absent,2021-01-12T09:06:45Z,2021-12-07T14:18:30Z,2021-01-20T09:53:37Z,10,37
9,7800,Occupied,None,Operational,Foam,Present,Absent,2021-01-23T15:08:38Z,2021-03-04T13:13:29Z,2021-08-02T09:01:46Z,9,4
0,7900,NA,Minor,Operational,Water,NA,Present,2021-11-10T00:10:46Z,2021-01-14T07:08:50Z,2021-12-22T06:30:08Z,5,1
8,76200,Occupied,NA,Operational,Water,Absent,Present,2021-05-22T20:30:12Z,2021-06-06T16:07:03Z,2021-03-04T07:56:11Z,4,46
1,60300,Abandoned,Moderate,Operational,No intervention,Present,Absent,2021-01-02T23:22:39Z,2021-12-12T21:22:41Z,2021-11-29T08:20:49Z,1,31
1,23300,Occupied,None,Operational,Water,Unknown,Not applicable,2021-11-30T10:11:03Z,2021-12-27T11:21:51Z,2021-11-04T12:39:17Z,5,23
6,83000,Occupied,Moderate,Operational,Water,Absent,Not applicable,2021-07-09T23:19:17Z,2021-12-01T07:05:16Z,2021-04-09T01:00:27Z,9,36
3,50200,Occupied,None,Operational,NA,Unknown,Not applicable,2021-11-15T06:16:12Z,2021-05-01T13:48:05Z,2021-06-17T00:29:40Z,5,42
1,91200,Occupied,Moderate,Not present,CO2,Absent,Not applicable,2021-06-01T13:41:29Z,2021-06-18T10:57:11Z,2021-05-07T10:52:36Z,7,50
9,90100,Occupied,None,Operational,Water,Present,Not applicable,2021-11-28T06:51:59Z,2021-06-19T02:05:00Z,2021-10-22T03:50:24Z,3,17
4,79600,Occupied,Moderate,Operational,Foam,Absent,Present,2021-06-06T20:10:50Z,2021-09-08T16:55:23Z,2021-02-04T22:38:33Z,1,46
2,74700,NA,Severe,Operational,NA,Unknown,Not applicable,2021-01-22T02:21:30Z,2021-12-01T00:48:55Z,2021-06-25T02:13:49Z,2,3
3,33200,Occupied,None,Operational,Foam,Present,NA,2021-03-23T01:59:27Z,2021-06-13T20:41:41Z,2021-10-18T03:53:36Z,10,3
3,65200,NA,None,Operational,NA,Unknown,Not applicable,2021-01-26T13:59:44Z,2021-04-23T20:32:03Z,2021-02-22T12:56:44Z,8,35
1,81400,Unoccupied,None,Not present,No intervention,Absent,Not applicable,2021-06-30T23:38:46Z,2021-03-16T02:48:37Z,2021-01-10T10:41:30Z,7,36
7,30400,Occupied,Moderate,Operational,Dry chemical,Absent,Present,2021-05-10T06:12:46Z,2021-12-20T05:14:49Z,2021-02-16T08:18:50Z,10,26
8,95600,Occupied,Severe,Operational,Dry chemical,Present,Present,2021-03-05T01:39:52Z,2021-06-18T13:07:27Z,2021-06-10T12:05:28Z,2,43
3,2700,Occupied,NA,Operational,NA,Unknown,Absent,2021-12-11T10:28:18Z,2021-09-08T04:21:10Z,2021-03-05T14:01:12Z,2,5
10,20500,Occupied,None,Operational,No intervention,Absent,NA,2021-08-21T18:25:33Z,2021-08-22T22:26:14Z,2021-03-13T08:16:01Z,4,8
2,85100,Occupied,Moderate,Operational,Foam,Unknown,Absent,2021-08-28T23:58:10Z,2021-07-28T12:39:20Z,2021-02-03T15:18:37Z,2,26
0,60300,Occupied,None,Operational,CO2,Absent,Present,2021-12-01T23:34:10Z,2021-04-23T19:45:05Z,2021-08-17T13:32:45Z,7,3
6,54400,Occupied,None,Operational,Water,Absent,Present,2021-03-29T02:23:16Z,2021-03-30T13:26:52Z,2021-10-24T20:04:49Z,9,39
10,42400,Occupied,Minor,NA,Dry chemical,Present,Not applicable,2021-10-19T21:09:31Z,2021-10-07T03:27:14Z,2021-05-11T17:33:11Z,6,3
0,65200,Occupied,Minor,Operational,CO2,NA,Present,2021-09-15T05:30:47Z,2021-10-18T09:52:28Z,2021-09-25T00:09:55Z,7,37
5,67100,Occupied,Moderate,Non-operational,NA,Present,Not applicable,2021-02-24T06:39:28Z,2021-10-19T04:41:56Z,2021-03-23T21:51:37Z,4,9
1,63800,Occupied,None,Non-operational,No intervention,Absent,Absent,2021-10-25T01:46:32Z,2021-05-13T10:51:19Z,2021-08-12T17:13:28Z,2,29
4,60000,Unoccupied,None,Operational,Dry chemical,NA,Present,2021-04-10T17:39:43Z,2021-09-10T21:48:00Z,2021-12-10T06:51:11Z,7,29
5,37300,Unoccupied,Minor,Operational,NA,Present,Not applicable,2021-04-17T01:26:37Z,2021-06-04T20:43:57Z,2021-04-16T11:09:49Z,4,18
3,48000,Occupied,Moderate,Operational,Dry chemical,Unknown,Absent,2021-02-23T11:40:52Z,2021-12-26T15:36:59Z,2021-07-25T09:00:58Z,5,49
1,83200,Unoccupied,Minor,Operational,Water,Unknown,Absent,2021-09-06T17:30:47Z,2021-06-09T22:58:33Z,2021-07-02T11:35:25Z,1,13
4,63200,Occupied,None,Operational,CO2,Absent,Not applicable,2021-03-06T14:26:25Z,2021-12-04T16:40:22Z,2021-02-28T03:02:41Z,9,2
2,52000,Occupied,Moderate,Operational,No intervention,Present,Not applicable,2021-08-09T16:21:28Z,2021-09-23T20:59:52Z,2021-04-12T01:06:53Z,10,14
1,75400,Occupied,Severe,Operational,NA,Absent,Present,2021-10-01T00:39:17Z,2021-02-13T21:19:02Z,2021-03-02T08:02:41Z,3,2
8,85800,Occupied,Moderate,Operational,No intervention,NA,Absent,2021-01-25T02:15:38Z,2021-10-31T01:16:46Z,2021-11-03T13:36:59Z,9,37
